original,revised,aligned,id
"If you think that fifty years ago , when there were n't cars or any sort of comfort ( born just in the "" industrial age "" ) everything had to be done by hands or by animal work : I think in that time life was really harder than now !","If you think about fifty years ago , when there were n't cars or any sort of comfort ( in the beginning of the industrial age ) , everything had to be done by hand or by animal labor . I think in those days life was much harder than now !","If you think {that=>about} fifty years ago , when there were n't cars or any sort of comfort ( {born just=>} in the {""=>beginning of the} industrial age {""=>} ) {=>,} everything had to be done by {hands=>hand} or by animal {work :=>labor .} I think in {that time=>those days} life was {really=>much} harder than now !",fce_dev_310
Using the equipment and area what we have to organise some activities .,We 'll be using the equipment and space that we have to organize some activities .,{Using=>We 'll be using} the equipment and {area what=>space that} we have to {organise=>organize} some activities .,fce_dev_246
"In my opinion , maths , politics , chinese , English and painting lessons are the most interesting ones .","In my opinion , math , politics , Chinese , English , and painting are the most interesting classes .","In my opinion , {maths=>math} , politics , {chinese=>Chinese} , English {=>,} and painting {lessons=>} are the most interesting {ones=>classes} .",fce_test_282
"In 2009 , Ford 's vehicle dynamics development engineers they have eighth year of development work with the D-platform chassis .","In 2009 , Ford 's vehicle dynamics development engineers had eight years of development work with the D-platform chassis .","In 2009 , Ford 's vehicle dynamics development engineers {they have eighth year=>had eight years} of development work with the D-platform chassis .",wiki_test_148
"It will be a great opportunity for me to see the United States and I am so happy about that , I can not explain it .",It will be a great opportunity for me to see the United States .,"It will be a great opportunity for me to see the United States {and I am so happy about that , I can not explain it=>} .",fce_dev_168
"The game is set in modern times , but the city-like home country of protagonist Noctis is the only technologically advanced location , otherwise surrounded by Medieval nations .","The game is set in modern times , but the city-like home country of the protagonist , Noctis , is the only technologically advanced location , otherwise surrounded by Medieval nations .","The game is set in modern times , but the city-like home country of {=>the} protagonist {=>,} Noctis {=>,} is the only technologically advanced location , otherwise surrounded by Medieval nations .",wiki_test_103
"She has one son , Tyler and one adopted daughter Ellie ( it is made clear that she adopted Ellie after her diorce ) .","She has one son , Tyler , and one adopted daughter , Ellie ( it is made clear that she adopted Ellie after her divorce ) .","She has one son , Tyler {=>,} and one adopted daughter {=>,} Ellie ( it is made clear that she adopted Ellie after her {diorce=>divorce} ) .",wiki_dev_182
"I had to pay the full prize for them , which was quite expencive .","I had to pay the full price for them , which was quite expensive .","I had to pay the full {prize=>price} for them , which was quite {expencive=>expensive} .",fce_dev_263
Salander remotely turns off the alarm and allows to him to enter and returns to her own efforts to find Niedermann by watching his post office box .,"Salander remotely turns off the alarm and allows him to enter, returning to her own efforts to find Niedermann by watching his post-office box .","Salander remotely turns off the alarm and allows {to=>} him to {enter and returns=>enter, returning} to her own efforts to find Niedermann by watching his {post office=>post-office} box .",wiki_test_30
"She clocked up 2,010 miles on her solo journey from Nauta in Peru on 20th January to Almerim , Brazil on 28th February .","She clocked up to 2,010 miles on her solo journey from Nauta , Peru on January 20th to Algeria , Brazil on February 28th .","She clocked up {=>to} 2,010 miles on her solo journey from Nauta {in=>,} Peru on {=>January} 20th {January=>} to {Almerim=>Algeria} , Brazil on {=>February} 28th {February=>} .",wiki_dev_211
I am willing to show you the authograph and the photograph .,I am willing to show you the autograph and the photograph .,I am willing to show you the {authograph=>autograph} and the photograph .,fce_test_704
Having money and be able to spend it in anything you want is brilliant therefore you try to turn it in an enjoyable moment .,"Having money and being able to spend it on anything you want is brilliant ; therefore , you try to turn it into an enjoyable moment .","Having money and {be=>being} able to spend it {in=>on} anything you want is brilliant {=>;} therefore {=>,} you try to turn it {in=>into} an enjoyable moment .",fce_dev_657
and to increase the quality of life for its members .,And to increase the quality of life for its members .,{and=>And} to increase the quality of life for its members .,wiki_dev_131
"They just said , "" we do n't give money back . ""","They just said , "" We do n't give money back . ""","They just said , "" {we=>We} do n't give money back . """,fce_test_333
"And last , but not least is the fact that famous people ca n't express their emotions , show their real feelings to public .","And , last but not least , is the fact that famous people ca n't express their emotions , nor show their real feelings in public .","And {=>,} last {,=>} but not least {=>,} is the fact that famous people ca n't express their emotions , {=>nor} show their real feelings {to=>in} public .",fce_dev_585
"Words like "" dis "" , "" dat "" , "" da "" and "" den "" mean "" this "" , "" that "" , "" the "" and "" then "" which are words of Portuguese / Spanish origin .","Words like "" dis "" , "" data "" , "" da "" and "" den "" mean "" this "" , "" that "" , "" the "" and "" then , "" which are words of Portuguese / Spanish origin .","Words like "" dis "" , "" {dat=>data} "" , "" da "" and "" den "" mean "" this "" , "" that "" , "" the "" and "" then {=>,} "" which are words of Portuguese / Spanish origin .",wiki_dev_364
"In the relatively recent past , the Irish in Britain were sometimes viewed with mixed feelings by a minority of population , due in part to the IRA bombing campaign in Britain between the early 1970s and early 1990s .","In the relatively recent past , the Irish in Britain were sometimes viewed with mixed feelings by a minority of the population , due in part to the IRA bombing campaign in Britain between the early 1970s and early 1990s .","In the relatively recent past , the Irish in Britain were sometimes viewed with mixed feelings by a minority of {=>the} population , due in part to the IRA bombing campaign in Britain between the early 1970s and early 1990s .",wiki_test_604
which I could bring them to be match the weather .,What should I bring to match the weather ?,{which=>What should} I {could=>} bring {them=>} to {be=>} match the weather {.=>?},fce_test_69
"George bush is considered a tonewood , or a wood that carries sound waves well , and is used in numerous instruments such as guitars and drums .","George Bush is considered a tonewood , or a wood that carries sound waves well , and is used in numerous instruments such as guitars and drums .","George {bush=>Bush} is considered a tonewood , or a wood that carries sound waves well , and is used in numerous instruments such as guitars and drums .",wiki_dev_57
I would like to ask whather you have competitions or different activities ?,I would like to ask whether you have competitions or different activities .,I would like to ask {whather=>whether} you have competitions or different activities {?=>.},fce_dev_218
"for example , Walden Pond in Concord , Massachusetts measures 61 acres ( ~ 25 ha ) , nearby Spot Pond is , while in between is Crystal Lake at .","For example , Walden Pond in Concord , Massachusetts , measures 61 acres ( 25 ha ) ; nearby is Spot Pond , and in between is Crystal Lake .","{for=>For} example , Walden Pond in Concord , Massachusetts {=>,} measures 61 acres ( {~=>} 25 ha ) {,=>;} nearby {=>is} Spot Pond {is=>} , {while=>and} in between is Crystal Lake {at=>} .",wiki_dev_792
"The majorite has chosen History , which means a big journey around the world , either at the Roman life style , or in the midle age , when a revolution happened with deaps and new lands .","The majority have chosen history , which means a big journey around the world , either about Roman lifestyle or about the Middle Ages , when a revolution happened with deals and new lands .","The {majorite has=>majority have} chosen {History=>history} , which means a big journey around the world , either {at=>about Roman lifestyle or about} the {Roman life style , or in the midle age=>Middle Ages} , when a revolution happened with {deaps=>deals} and new lands .",fce_dev_616
"Even if Portugal is a unitary nation , the Azorean Islands are granted with a autonomous region .","Even if Portugal is a unitary nation , the Azorean Islands are granted with an autonomous region .","Even if Portugal is a unitary nation , the Azorean Islands are granted with {a=>an} autonomous region .",wiki_test_694
"User fails to follow BRD , restored BOLD edit while discussion was still going on and no consensus was achieved for his position .","The user fails to follow BRD , and restored BOLD edit while discussion was still going on . No consensus was achieved for his position .","{User=>The user} fails to follow BRD , {=>and} restored BOLD edit while discussion was still going on {and no=>. No} consensus was achieved for his position .",wiki_dev_173
"It seemed to be the most interesting lesson , because student always make some mistake while they are practising with thier partner , in spite of having told from teacher ten times .","It seemed to be the most interesting lesson , because students always make mistakes while they are practicing with their partner , in spite of having been corrected by the teacher ten times .","It seemed to be the most interesting lesson , because {student=>students} always make {some mistake=>mistakes} while they are {practising=>practicing} with {thier=>their} partner , in spite of having {told from=>been corrected by the} teacher ten times .",fce_dev_401
"However , examples as the Almost Mathieu Operator and random Schrödinger operators have shown , that all types of spectra arise naturally in physics .","However , examples that the almost Mathieu operator and random Schrödinger operators have shown , all types of spectra arise naturally in physics .","However , examples {as=>that} the {Almost=>almost} Mathieu {Operator=>operator} and random Schrödinger operators have shown , {that=>} all types of spectra arise naturally in physics .",wiki_dev_697
"In my opinion , shopping is relaxing above all on Saturdays when you have finished a work week and you are expecting a wonderful Sunday .","In my opinion , shopping is relaxing , above all on Saturdays when you have finished a work week , and you are expecting a wonderful Sunday .","In my opinion , shopping is relaxing {=>,} above all on Saturdays when you have finished a work week {=>,} and you are expecting a wonderful Sunday .",fce_dev_696
I FEEL YOU LIE ME AND YOUR COMPANY IS NOT SERIOUS .,"I FEEL LIKE YOU LIED TO ME , AND YOUR COMPANY IS NOT SERIOUS .","I FEEL {=>LIKE} YOU {LIE=>LIED TO} ME {=>,} AND YOUR COMPANY IS NOT SERIOUS .",fce_dev_669
Jon Finch and Francesca Annis appeared in the lead roles .,Jon Finch and Francesca Annis appeared as the lead roles .,Jon Finch and Francesca Annis appeared {in=>as} the lead roles .,wiki_dev_363
"I would like to change the attendance and clothing rules in school , but I do n't have the enough power .","I would like to change the attendance and clothing rules at school , but I do n't have enough power .","I would like to change the attendance and clothing rules {in=>at} school , but I do n't have {the=>} enough power .",fce_dev_476
The evening that I spent there was terrible so please may I have my money back .,"The evening that I spent there was terrible , so please may I have my money back ?","The evening that I spent there was terrible {=>,} so please may I have my money back {.=>?}",fce_dev_602
This release drops support for Windows 2000 and was be compatible with Windows Vista upon its release with an update .,This release drops support for Windows 2000 and was to be compatible with Windows Vista upon its release with an update .,This release drops support for Windows 2000 and was {=>to} be compatible with Windows Vista upon its release with an update .,wiki_dev_561
"At this point , the time travelling hero Chronos is heard in the background , gloating about having conned Savage in retaliation for a previous adventure when Savage had him stranded in time .","At this point , the time traveling hero Chronos is heard in the background , gloating about having conned Savage in retaliation for a previous adventure , when Savage had him stranded in time .","At this point , the time {travelling=>traveling} hero Chronos is heard in the background , gloating about having conned Savage in retaliation for a previous adventure {=>,} when Savage had him stranded in time .",wiki_dev_860
"a place where African Americans could live their lives free of the racial discrimination that so pervaded post Reconstruction , turn of the century America .","a place where African Americans could live their lives free of the racial discrimination that so pervaded post-Reconstruction , turn of the century America .","a place where African Americans could live their lives free of the racial discrimination that so pervaded {post Reconstruction=>post-Reconstruction} , turn of the century America .",wiki_test_540
""" His activities led the public to view him as a radical lawyer and supported of radical principles , and he was accused by former President Theodore Roosevelt of being "" engaged in excusing men precisely like the Bolsheviki in Russia .","His activities led the public to view him as a radical lawyer and supporter of radical principles , and he was accused by former President Theodore Roosevelt of "" being engaged in excusing men precisely like the Bolsheviki in Russia. ""","{""=>} His activities led the public to view him as a radical lawyer and {supported=>supporter} of radical principles , and he was accused by former President Theodore Roosevelt of {=>""} being {""=>} engaged in excusing men precisely like the Bolsheviki in {Russia .=>Russia. ""}",wiki_test_38
It also held an internation exhibition all year round .,It also holds an international exhibition all year round .,It also {held=>holds} an {internation=>international} exhibition all year round .,fce_dev_348
these may be ommitted without any problems to the template 's function .,These may be omitted without any problems for the template 's function .,{these=>These} may be {ommitted=>omitted} without any problems {to=>for} the template 's function .,wiki_test_142
The New England colonies were extremely similar in their dietary habits to those they many of them had brought from England .,The New England colonies were extremely similar in their dietary habits to many of those who had come from England .,The New England colonies were extremely similar in their dietary habits to {those they=>} many of {them=>those who} had {brought=>come} from England .,wiki_test_703
"FIRST AND FOREMOST , IT 'S IMPORTANT TO REMEMBER THAT TODAY IT IS EASIER TO TRAVEL AROUND THE WORLD BECAUSE NOWADAYS THERE ARE LOTS OF GOOD AND FAST WAYS OF TRANSPORT .","FIRST AND FOREMOST , IT 'S IMPORTANT TO REMEMBER THAT TODAY IT IS EASIER TO TRAVEL AROUND THE WORLD BECAUSE NOWADAYS THERE ARE A LOT OF GOOD AND FAST WAYS OF TRANSPORT .","FIRST AND FOREMOST , IT 'S IMPORTANT TO REMEMBER THAT TODAY IT IS EASIER TO TRAVEL AROUND THE WORLD BECAUSE NOWADAYS THERE ARE {LOTS=>A LOT} OF GOOD AND FAST WAYS OF TRANSPORT .",fce_dev_469
"To commemorate the 50th anniversary of the execution of Joe Hill , Philip S. Foner published a book , "" The Case of Joe Hill "" , about the trial and subsequent events , which concludes that the case was seriously miscarried .","To commemorate the 50th anniversary of the execution of Joe Hill , Philip S. Foner published a book , "" The Case of Joe Hill, "" about the trial and subsequent events , which concludes that the case was seriously miscarried .","To commemorate the 50th anniversary of the execution of Joe Hill , Philip S. Foner published a book , "" The Case of Joe {Hill=>Hill,} "" {,=>} about the trial and subsequent events , which concludes that the case was seriously miscarried .",wiki_test_661
"Consequently , the IMLP refuses Trotskyism , because is believed be an estremistic and anti-Communist diversion from Marxism-Leninism .","Consequently , the IMLP refuses Trotskyism , because it is believed to be an extremist and anti-Communist diversion from Marxism-Leninism .","Consequently , the IMLP refuses Trotskyism , because {=>it} is believed {=>to} be an {estremistic=>extremist} and anti-Communist diversion from Marxism-Leninism .",wiki_test_209
"The highest points of the island are Stanley hill , and Mount Bing ( 304 metres ) .",The highest points of the island are Stanley Hill and Mount Bing ( 304 metres ) .,"The highest points of the island are Stanley {hill ,=>Hill} and Mount Bing ( 304 metres ) .",wiki_test_787
"So many happy people in the crowds , that the atmosphere was infectious .",There were so many happy people in the crowds that the atmosphere was infectious .,"{So=>There were so} many happy people in the crowds {,=>} that the atmosphere was infectious .",fce_dev_3
"In other hand , after shopping you 'll get tired and maybe you ca n't afford your credit card .","On the other hand , after shopping you 'll get tired , and maybe you ca n't afford your credit card .","{In=>On the} other hand , after shopping you 'll get tired {=>,} and maybe you ca n't afford your credit card .",fce_dev_87
I find shopping is the most time consuming .,I find shopping to be the most time-consuming .,I find shopping {is=>to be} the most {time consuming=>time-consuming} .,fce_dev_261
"These commemorate the infamous "" Delting Disaster "" of 21 December 1900 when twenty - two local fishermen where lost during a storm , decimating the community .","These commemorate the infamous "" Delting Disaster "" of the 21st of December, 1900 , when twenty-two local fishermen were lost during a storm , decimating the community .","These commemorate the infamous "" Delting Disaster "" of {21 December=>the 21st of December,} 1900 {=>,} when {twenty - two=>twenty-two} local fishermen {where=>were} lost during a storm , decimating the community .",wiki_dev_232
"Sex , Drugs & Rock ' n ' Chips is a upcoming sitcom and a prequel to "" Only Fools and Horses "" and is the second spin-off from the original series , after "" The Green Green Grass "" .",""" Sex , Drugs & Rock ' n ' Chips "" is an upcoming sitcom and a prequel to "" Only Fools and Horses "" and is the second spin-off from the original series , after "" The Green Green Grass .""","{=>""} Sex , Drugs & Rock ' n ' Chips {=>""} is {a=>an} upcoming sitcom and a prequel to "" Only Fools and Horses "" and is the second spin-off from the original series , after "" The Green Green Grass {"" .=>.""}",wiki_dev_192
"Main business areas are SAP ERP solution , lease accounting , internal control , and M & A consulting .","The main business areas are SAP ERP solution , lease accounting , internal control , and M & A Consulting .","{Main=>The main} business areas are SAP ERP solution , lease accounting , internal control , and M & A {consulting=>Consulting} .",wiki_test_294
"The show 's date is very convinient - March 14 - , and it is on Central Exhibition Hall so I do not think it would be a problem to get there .","The show 's date is very convenient - March 14 , and it is in Central Exhibition Hall , so I do not think it would be a problem to get there .","The show 's date is very {convinient=>convenient} - March 14 {-=>} , and it is {on=>in} Central Exhibition Hall {=>,} so I do not think it would be a problem to get there .",fce_dev_515
"K ' and Maxima are once again separated from their teammates , but are joined Whip who joins them after revealing her identity to K ' .","K' and Maxima are once again separated from their teammates but are joined by Whip, who joins them after revealing her identity to K ' .","{K '=>K'} and Maxima are once again separated from their teammates {,=>} but are joined {Whip=>by Whip,} who joins them after revealing her identity to K ' .",wiki_test_183
I was very dissappointed what else can I write .,I was very disappointed . What else can I write ?,I was very {dissappointed what=>disappointed . What} else can I write {.=>?},fce_dev_851
"It 's a great opportunity for us because there will be expositions of the latest fashions , of the new hairstyles , of the new leisure and sports clothes and people teaching how to make up .","It 's a great opportunity for us because there will be expositions of the latest fashions , new hairstyles , new leisure and sports clothes , and people teaching how to do makeup .","It 's a great opportunity for us because there will be expositions of the latest fashions , {of the=>} new hairstyles , {of the=>} new leisure and sports clothes {=>,} and people teaching how to {make up=>do makeup} .",fce_dev_755
The student council consists of 2 students from each grade that work with the teachers and principals to acheive goals for the students .,The student council consists of 2 students from each grade that work with the teachers and principals to achieve goals for the students .,The student council consists of 2 students from each grade that work with the teachers and principals to {acheive=>achieve} goals for the students .,wiki_test_74
""" Tik Tok "" was co-written by Kesha , Dr. Luke and Benny Blanco and was co-produced by Dr. Luke , Benny Blanco and Moe Faisal .",""" Tik Tok "" was co-written by Kesha , Dr. Luke , and Benny Blanco and was co-produced by Dr. Luke , Benny Blanco , and Moe Faisal .",""" Tik Tok "" was co-written by Kesha , Dr. Luke {=>,} and Benny Blanco and was co-produced by Dr. Luke , Benny Blanco {=>,} and Moe Faisal .",wiki_dev_335
"About the accommodation at Camp California , I would like to stay in a tents .","Regarding accommodation at Camp California , I would like to stay in a tent .","{About the=>Regarding} accommodation at Camp California , I would like to stay in a {tents=>tent} .",fce_test_785
In my opinion staying in log cabins is funnier and much cleaner .,"In my opinion , staying in a log cabin is more fun and much cleaner .","In my opinion {=>,} staying in {=>a} log {cabins=>cabin} is {funnier=>more fun} and much cleaner .",fce_test_221
But the positive way new technology have changed my life is in way to communicate .,But the positive way new technology has changed my life is in the means of communication .,But the positive way new technology {have=>has} changed my life is in {way to communicate=>the means of communication} .,fce_test_605
"When I saw your advertisement on yesterday 's newspaper , I thought that I would have a perfect evening as you have written on your advertisement .","When I saw your advertisement in yesterday 's newspaper , I thought that I would have a perfect evening , as you have written on your advertisement .","When I saw your advertisement {on=>in} yesterday 's newspaper , I thought that I would have a perfect evening {=>,} as you have written on your advertisement .",fce_test_45
"Dungeaoneering is designed to use all of the skills in runescape as you have to make your own weapons , get different foods and need certain skill levels to do certain actions .","Dungeaoneering is designed to use all of the skills in RuneScape as you have to make your own weapons , get different foods , and need certain skill levels to do certain actions .","Dungeaoneering is designed to use all of the skills in {runescape=>RuneScape} as you have to make your own weapons , get different foods {=>,} and need certain skill levels to do certain actions .",wiki_test_523
Althoug I wich that my accommodation at Camp California it must be in tents . I get experience in the last summer .,"Although I wish that my accommodation at Camp California be in tents , I had that experience last summer .","{Althoug=>Although} I {wich=>wish} that my accommodation at Camp California {it must=>} be in tents {.=>,} I {get=>had that} experience {in the=>} last summer .",fce_test_667
Hearts should of went in at half time with a 2 - 1 lead but a further strike by Beattie was wrongly ruled off side by linesman Gary Cheyne .,"The Hearts should have gone into halftime with a 2 - 1 lead , but another strike by Beattie was wrongly ruled offside by linesman Gary Cheyne .","{=>The} Hearts should {of went in at half time=>have gone into halftime} with a 2 - 1 lead {=>,} but {a further=>another} strike by Beattie was wrongly ruled {off side=>offside} by linesman Gary Cheyne .",wiki_dev_714
"With regard to your International Arts Festival advertisment , I would like to share with you the pleasure I had to be part of the event and some suggestions for next year 's festival that you might take in consideration .","With regard to your International Arts Festival advertisement , I would like to share with you the pleasure I had to be part of the event , and some suggestions for next year 's festival that you might take in consideration .","With regard to your International Arts Festival {advertisment=>advertisement} , I would like to share with you the pleasure I had to be part of the event {=>,} and some suggestions for next year 's festival that you might take in consideration .",fce_test_254
There will be music as well for dancing .,There will be music for dancing as well .,There will be music {=>for dancing} as well {for dancing=>} .,fce_dev_340
I used to write letters but it takes time to arrive there or sometimes disappear so E-mail is brilliant for my life .,"I used to write letters , but it takes time to arrive there or sometimes disappears , so e-mail is brilliant for my life .","I used to write letters {=>,} but it takes time to arrive there or sometimes {disappear=>disappears ,} so {E-mail=>e-mail} is brilliant for my life .",fce_dev_130
"Presently , Vancouver is North America 's third-largest film production centre , just after Los Angeles and New York .","Presently , Vancouver is North America 's third-largest film production center , just after Los Angeles and New York .","Presently , Vancouver is North America 's third-largest film production {centre=>center} , just after Los Angeles and New York .",wiki_test_48
May be there are some occasions which I have to pay myself .,Maybe there are some occasions which I would have to pay myself .,{May be=>Maybe} there are some occasions which I {=>would} have to pay myself .,fce_dev_459
I first bought a computer as I was in university .,I first bought a computer when I was in university .,I first bought a computer {as=>when} I was in university .,fce_dev_232
"This part of the address space is called "" conventional memory "" since it accessible to all versions of PC DOS ( and MS DOS ) automatically on start up .","This part of the address space is called "" conventional memory "" since it is accessible to all versions of PC-DOS ( and MS-DOS ) automatically on start up .","This part of the address space is called "" conventional memory "" since it {=>is} accessible to all versions of {PC DOS=>PC-DOS} ( and {MS DOS=>MS-DOS} ) automatically on start up .",wiki_dev_852
"At the camp I will like to choose two activities , Painting and Singing , I love painting , in the university I studied art for two years , but now I do n't have much time to paint couse I work in a bank and I have a baby .","At the camp I would like to choose two activities , painting and singing . I love painting . I studied art for two years at the university , but now I do n't have much time to paint because I work in a bank , and I have a baby .","At the camp I {will=>would} like to choose two activities , {Painting=>painting} and {Singing ,=>singing .} I love painting {, in the university=>.} I studied art for two years {=>at the university} , but now I do n't have much time to paint {couse=>because} I work in a bank {=>,} and I have a baby .",fce_test_714
"From 1983-91 , Johnson 's teams at Maurice J. McDonough High School in Pomfret , Maryland were ranked among the top squads in the Washington , DC metropolitan area .","From 1983-91 , Johnson 's teams at Maurice J. McDonough High School in Pomfret , Maryland , were ranked among the top squads in the Washington , DC metropolitan area .","From 1983-91 , Johnson 's teams at Maurice J. McDonough High School in Pomfret , Maryland {=>,} were ranked among the top squads in the Washington , DC metropolitan area .",wiki_dev_584
The Coat of Arms of Brazil have existed since Brazil became a republic in the late 19th century .,The Coat of arms of Brazil has existed since Brazil became a republic in the late 19th century .,The Coat of {Arms=>arms} of Brazil {have=>has} existed since Brazil became a republic in the late 19th century .,wiki_dev_369
"The day of the concert we helped to clean the place where the concert was performed and to have everything in order so the concert could be a succes , which it was .","The day of the concert we helped to clean the place where the concert was performed and to have everything in order so the concert could be a success , which it was .","The day of the concert we helped to clean the place where the concert was performed and to have everything in order so the concert could be a {succes=>success} , which it was .",fce_dev_298
"I 'm rather trained in climbing , I have done it once a mounth since I was 17 .",I 'm rather trained in climbing . I have done it once a month since I was 17 .,"I 'm rather trained in climbing {,=>.} I have done it once a {mounth=>month} since I was 17 .",fce_dev_437
"We had walked for three hours ( my mother , my two brother and I ) through the humid and noisy jungle , looking forward to reach a small but clean house where a nice and friendly family , old friends of us , used to live .","We had walked for three hours ( my mother , my two brothers , and I ) through the humid and noisy jungle , looking forward to reaching a small but clean house , where a nice and friendly family , old friends of ours , used to live .","We had walked for three hours ( my mother , my two {brother=>brothers ,} and I ) through the humid and noisy jungle , looking forward to {reach=>reaching} a small but clean house {=>,} where a nice and friendly family , old friends of {us=>ours} , used to live .",fce_dev_834
"Therefore , I am interested in staying a log cabin .","Therefore , I am interested in staying in a log cabin .","Therefore , I am interested in staying {=>in} a log cabin .",fce_dev_322
I am very delighted to visit the two weeks Camp California in the U.S.A. .,I am very delighted to visit Camp California in the U.S.A. for two weeks .,I am very delighted to visit {the two weeks=>} Camp California in the U.S.A. {=>for two weeks} .,fce_test_306
