original,revised,aligned,id,annotator
It is to be operated by the Toronto Transit Commission .,It is operated by the Toronto Transit Commission .,It is {to be=>} operated by the Toronto Transit Commission .,wiki_dev_821,magali
Retrospective abum of early singles called ' 1234 The Early Singles ' released 2006 .,"A retrospective album of early singles called "" 1234 : The Early Singles "" was released in 2006 .","{Retrospective abum=>A retrospective album} of early singles called {'=>""} 1234 {=>:} The Early Singles {'=>"" was} released {=>in} 2006 .",wiki_dev_49,magali
"Hitler 's opinion was that abstract , Dadaist , expressionist , and modern art were decadent , an opinion that became the basis for policy .","Hitler 's opinion was that abstract , dadaist , expressionist , and modern art were decadent , an opinion that became the basis for policy .","Hitler 's opinion was that abstract , {Dadaist=>dadaist} , expressionist , and modern art were decadent , an opinion that became the basis for policy .",wiki_dev_291,magali
They are envious and jealous of your compnion .,They are envious and jealous of your companion .,They are envious and jealous of your {compnion=>companion} .,wiki_dev_473,magali
"When you are tired after looking around you might want to buy drinks or something to eat , or if you are fed up with historical thing , you migh as well just pop into the modern gallery to see things which are more modern .","When you are tired after looking around , you might want to buy drinks or something to eat , or if you are fed up with historical things , you might as well just pop into the modern gallery to see things that are more modern .","When you are tired after looking around {=>,} you might want to buy drinks or something to eat , or if you are fed up with historical {thing=>things} , you {migh=>might} as well just pop into the modern gallery to see things {which=>that} are more modern .",fce_dev_400,magali
That fact should be respected by the journalists .,That fact should be respected by journalists .,That fact should be respected by {the=>} journalists .,fce_dev_621,magali
"Sexes are similar , but immatures are paler and duller .","The sexes are similar , but the more immature are paler and duller .","{Sexes=>The sexes} are similar , but {immatures=>the more immature} are paler and duller .",wiki_test_843,magali
"I immediately say "" yes "" and also my friend .",I immediately said yes and so did my friend .,"I immediately {say ""=>said} yes {""=>} and {also=>so did} my friend .",fce_test_576,magali
Now I hope that you can understand my question for some money back because of the trouble I had .,Now I hope that you can understand my request for some money back because of the trouble I had .,Now I hope that you can understand my {question=>request} for some money back because of the trouble I had .,fce_dev_611,magali
The main rivalry heading into Slammiversary was the annually-held King of the Mountain match ( KOTM ) .,The main rivalry heading into Slammiversary was the annually held King of the Mountain match ( KOTM ) .,The main rivalry heading into Slammiversary was the {annually-held=>annually held} King of the Mountain match ( KOTM ) .,wiki_dev_212,magali
"A similar sentence with visual predicates is claimed to be , "" I can see it clearly "" , or with auditory predicates , "" That sounds right to me .","A similar sentence with visual predicates is claimed to be , "" I can see it clearly ,"" or with auditory predicates , "" That sounds right to me. ""","A similar sentence with visual predicates is claimed to be , "" I can see it clearly {"" ,=>,""} or with auditory predicates , "" That sounds right to {me .=>me. ""}",wiki_test_537,magali
"Party baloons also work wonders ( again , subject to any restrictions you may be under as to what you are allowed to use .","Party balloons also work wonders ( again , subject to any restrictions you may be under as to what you are allowed to use ) .","Party {baloons=>balloons} also work wonders ( again , subject to any restrictions you may be under as to what you are allowed to use {=>)} .",wiki_dev_28,magali
I learnt from you letter that I 've won the first prize .,I learned from your letter that I 've won the first prize .,I {learnt=>learned} from {you=>your} letter that I 've won the first prize .,fce_test_215,magali
Probably she 'll come with a friend if you want you can enjoy us .,"She 'll probably come with a friend ; if you want , you can join us .","{Probably she=>She} 'll {=>probably} come with a friend {=>;} if you want {=>,} you can {enjoy=>join} us .",fce_test_632,magali
"More specialized scientific journals such as the aforementioned chemistry journals , "" Astrophysical Journal "" , and "" Physical Review "" A / B / C / D / E / ... use peer review primarily to filter out obvious mistakes and incompetence , as well as ( borderline ) plagiarism , overly derivative work , and straightforward applications of known methods .","More specialized scientific journals such as the aforementioned chemistry journals , "" Astrophysical Journal , "" and "" Physical Review , "" use peer review primarily to filter out obvious mistakes and incompetence , as well as ( borderline ) plagiarism , overly derivative work , and straightforward applications of known methods .","More specialized scientific journals such as the aforementioned chemistry journals , "" Astrophysical Journal {=>,} "" {,=>} and "" Physical Review {=>,} "" {A / B / C / D / E / ...=>} use peer review primarily to filter out obvious mistakes and incompetence , as well as ( borderline ) plagiarism , overly derivative work , and straightforward applications of known methods .",wiki_test_59,magali
"Someone says it is maths , pratical , usefull but the majority says it is boring , unless you 're chose a job which charges all your math 's knowledge as accounting , otherwise you can use a calculator or a computer .","Some said math because it is practical and useful , but the majority said it is boring unless you choose a job which uses your math knowledge , as accounting ; otherwise you can use a calculator or a computer .","{Someone says=>Some said math because} it is {maths=>practical and useful} , {pratical , usefull=>} but the majority {says=>said} it is boring {,=>} unless you {'re chose=>choose} a job which {charges all=>uses} your math {'s=>} knowledge {=>,} as accounting {,=>;} otherwise you can use a calculator or a computer .",fce_test_324,magali+mark
"The United States Army , Air Force and Navy recognizes 17 campaign stars ( 3 silver and 2 bronze service stars ) on the Vietnam Service campaign streamer .","The United States Army , Air Force, and Navy recognize 17 campaign stars ( 3 silver and 2 bronze service stars ) on the Vietnam Service campaign streamer .","The United States Army , Air {Force=>Force,} and Navy {recognizes=>recognize} 17 campaign stars ( 3 silver and 2 bronze service stars ) on the Vietnam Service campaign streamer .",wiki_dev_579,magali+mark
Ohio Valley College does not national fraternities and sororities .,Ohio Valley College does not have national fraternities and sororities .,Ohio Valley College does not {=>have} national fraternities and sororities .,wiki_dev_29,magali+mark
"The melodies were arranged for the fourteen member cast by long-time Bruton collaborator Tristan Cosino , who also coached and directed the ensemble .","The melodies were arranged for the fourteenth member cast by long-time Bruton collaborator Tristan Cosino , who also coached and directed the ensemble .","The melodies were arranged for the {fourteen=>fourteenth} member cast by long-time Bruton collaborator Tristan Cosino , who also coached and directed the ensemble .",wiki_dev_802,magali+mark
"They have a daughter , Harlow Winter Kate Richie Madden ( born January 11 , 2008 ) and a son , Sparrow James Midnight Richie Madden ( born September 9 , 2009 ) .","They have a daughter , Harlow Winter Kate Richie Madden ( born January 11 , 2008 ) , and a son , Sparrow James Midnight Richie Madden ( born September 9 , 2009 ) .","They have a daughter , Harlow Winter Kate Richie Madden ( born January 11 , 2008 ) {=>,} and a son , Sparrow James Midnight Richie Madden ( born September 9 , 2009 ) .",wiki_test_893,magali+mark
Painting is something that I love and I am very good doing it .,"Painting is something that I love , and I am very good at it .","Painting is something that I love {=>,} and I am very good {doing=>at} it .",fce_dev_324,magali+mark
The British Iron Age lasted in theory from the first significant use of iron for tools and weapons in Britain to the Romanization of southern half of the island .,"The British Iron Age lasted , in theory , from the first significant use of iron for tools and weapons in Britain to the Romanization of the southern half of the island .","The British Iron Age lasted {=>,} in theory {=>,} from the first significant use of iron for tools and weapons in Britain to the Romanization of {=>the} southern half of the island .",wiki_test_791,magali+mark
"Thank you very much for many interesting positions in this schedule , especially the river trip to Greenwich , which , we are shure , will be very exciting .","Thank you very much for the many interesting activities in this schedule , especially the river trip to Greenwich , which , we are sure , will be very exciting .","Thank you very much for {=>the} many interesting {positions=>activities} in this schedule , especially the river trip to Greenwich , which , we are {shure=>sure} , will be very exciting .",fce_test_594,magali+mark
"Many black Canadians today are of Caribbean Ancestry , with some of recent African origin and smaller numbers from Latin American countries .","Many black Canadians today are of Caribbean Ancestry , with some of recent African origin , and smaller numbers from Latin American countries .","Many black Canadians today are of Caribbean Ancestry , with some of recent African origin {=>,} and smaller numbers from Latin American countries .",wiki_test_576,magali+mark
According to Statistisk sentralbyrå ( SSB ) there were 192 homosexual partnerships recorded in 2004 .,"According to Statistisk sentralbyrå ( SSB ) , there were 192 homosexual partnerships recorded in 2004 .","According to Statistisk sentralbyrå ( SSB ) {=>,} there were 192 homosexual partnerships recorded in 2004 .",wiki_dev_887,magali+mark
"The interior 's focal point is a 18 ' or 5.5m rose window with flowing tracery , designed by Hugh Easton ( 1906-65 ) , and situated at the east-end above the high altar .","The interior 's focal point is an 18 ' or 5.5m rose window with flowing tracery , designed by Hugh Easton ( 1906-65 ) and situated at the east end above the high altar .","The interior 's focal point is {a=>an} 18 ' or 5.5m rose window with flowing tracery , designed by Hugh Easton ( 1906-65 ) {,=>} and situated at the {east-end=>east end} above the high altar .",wiki_dev_809,magali+mark
It was almost twice as long as the modern saltwater crocodile and weighed up to 8 tonnes .,It was almost twice as long as the modern saltwater crocodile and weighed up to 8 tons .,It was almost twice as long as the modern saltwater crocodile and weighed up to 8 {tonnes=>tons} .,wiki_test_637,magali+mark
"Lansky had apparently already obtained the approval of the Duke of Windsor for Lansky 's plans to develop gambling on the islands , and was working with Christie , a property developer and Bahamian legislator , and other notable Bahamians , including Stafford Sands ( who served as the jury foreman at the de Marigny murder trial ) ) , to bring this about .","Lansky had apparently already obtained the approval of the Duke of Windsor for Lansky 's plans to develop gambling on the islands and was working with Christie , a property developer and Bahamian legislator , and other notable Bahamians , including Stafford Sands ( who served as the jury foreman at the de Marigny murder trial ) , to bring this about .","Lansky had apparently already obtained the approval of the Duke of Windsor for Lansky 's plans to develop gambling on the islands {,=>} and was working with Christie , a property developer and Bahamian legislator , and other notable Bahamians , including Stafford Sands ( who served as the jury foreman at the de Marigny murder trial ) {)=>} , to bring this about .",wiki_test_215,magali+mark
"According to the account by the Chechen fighter Dalkhan Kozayev , the attacking forces numbered 42 tanks and 8 BTR-type wheeled APCs , a number of other vehicles , and more than 3,000 men .","According to the account by the Chechen fighter , Dalkhan Kozayev , the attacking forces numbered 42 tanks and 8 BTR-type wheeled APCs , a number of other vehicles , and more than 3,000 men .","According to the account by the Chechen fighter {=>,} Dalkhan Kozayev , the attacking forces numbered 42 tanks and 8 BTR-type wheeled APCs , a number of other vehicles , and more than 3,000 men .",wiki_dev_244,magali+mark
"In my opinion there 's nothing special that I 'd like to change , maybe only this , that I would n't have to change my boots .","In my opinion , there 's nothing special that I 'd like to change , maybe only that I would n't have to change my boots .","In my opinion {=>,} there 's nothing special that I 'd like to change , maybe only {this ,=>} that I would n't have to change my boots .",fce_dev_271,magali+mark
"Apart from this , computer 's advanced technology allows me to contact anyone at the moment that I want to , while five years ago when I did not have a computer , I had to write letters which was a slower way to contact with people .","Apart from this , the computer 's advanced technology allows me to contact anyone at the moment that I want to , while five years ago when I did not have a computer , I had to write letters , which was a slower way to contact people .","Apart from this , {=>the} computer 's advanced technology allows me to contact anyone at the moment that I want to , while five years ago when I did not have a computer , I had to write letters {=>,} which was a slower way to contact {with=>} people .",fce_test_102,magali+mark
"Moreover , I have been thinking about changing the location because , as you probably already know , some concert halls were not big enough to let everybody who wanted go in .","Moreover , I have been thinking about changing the location because , as you probably already know , some concert halls were not big enough to let everybody in .","Moreover , I have been thinking about changing the location because , as you probably already know , some concert halls were not big enough to let everybody {who wanted go=>} in .",fce_dev_86,magali+mark
It was relly pity because I expected to see artists from France and Italy .,It was really a pity because I expected to see artists from France and Italy .,It was {relly=>really a} pity because I expected to see artists from France and Italy .,fce_dev_11,magali+mark
"Once students have taken a shower after a hard physical training they come to real life , depending on their levels they have to study for instance languages wich I personally find very important for a person working in the tourism field because these enables stuff to communicate with clients in a proper way , students have to manage to speak at least three languages .","Once students have taken a shower after hard physical training , they come to life . Depending on their level , they have to study , for instance , languages , which I personally find very important for a person working in the tourism field because it enables staff to communicate with clients in a proper way . Students have to manage to speak at least three languages .","Once students have taken a shower after {a=>} hard physical training {=>,} they come to {real=>} life {, depending=>. Depending} on their {levels=>level ,} they have to study {=>,} for instance {=>,} languages {wich=>, which} I personally find very important for a person working in the tourism field because {these=>it} enables {stuff=>staff} to communicate with clients in a proper way {, students=>. Students} have to manage to speak at least three languages .",fce_dev_695,magali+mark
I was already happy to help in such a big concert than the Mylene Farmer 's concert .,I was already happy to help with such a big concert as Mylene Farmer .,I was already happy to help {in=>with} such a big concert {than the=>as} Mylene Farmer {'s concert=>} .,fce_dev_842,magali+mark
"There is no objective "" per se "" .","There is no objective "" per se .""","There is no objective "" per se {"" .=>.""}",wiki_test_325,magali+mark
If I found somenthing special to visit in three hours I call you .,If I find something special to visit in three hours . I will call you .,If I {found somenthing=>find something} special to visit in three hours {=>.} I {=>will} call you .,fce_test_86,magali+mark
"In 1987 , when Dr Niven was in ailing health , Dr John Bear agreed to take the school on and became its President , moving the school to Hilo , Hawaii , where he continued in charge until 1992 .","In 1987 , when Dr. Niven was in ailing health , Dr. John Bear agreed to take the school on , and became its President , moving the school to Hilo , Hawaii , where he continued in charge until 1992 .","In 1987 , when {Dr=>Dr.} Niven was in ailing health , {Dr=>Dr.} John Bear agreed to take the school on {=>,} and became its President , moving the school to Hilo , Hawaii , where he continued in charge until 1992 .",wiki_test_100,magali+mark
"During the afternoon , Tim and me spent the hours before the concer laying on the park next to the sport hall where the concert was to be held .","During the afternoon , Tim and I spent the hours before the concert playing in the park next to the sport hall where the concert was to be held .","During the afternoon , Tim and {me=>I} spent the hours before the {concer laying on=>concert playing in} the park next to the sport hall where the concert was to be held .",fce_test_202,magali+mark
"On the other hand , people will still be living in a building which is constructed for a "" family "" .","On the other hand , people will still be living in a building constructed for a "" family . ""","On the other hand , people will still be living in a building {which is=>} constructed for a "" family {=>.} "" {.=>}",fce_dev_158,magali+mark
And what is the weather like ?,What is the weather like ?,{And what=>What} is the weather like ?,fce_test_750,mark
"An example of this cross referencing is that on the cover of the MEN everyday , there is a reference to a news feature or programme on Channel M that evening .","An example of this cross-referencing is that on the cover of ""MEN"" every day . There is a reference to a news feature or program on Channel M that evening .","An example of this {cross referencing=>cross-referencing} is that on the cover of {the MEN everyday , there=>""MEN"" every day . There} is a reference to a news feature or {programme=>program} on Channel M that evening .",wiki_dev_267,mark
"In 2008 , she was their national ambassador and worked along side construction companies to build 280 energy efficient homes in a week .","In 2008 , she was their national ambassador and worked alongside construction companies to build 280 energy efficient homes in a week .","In 2008 , she was their national ambassador and worked {along side=>alongside} construction companies to build 280 energy efficient homes in a week .",wiki_test_586,mark
"That was bit boring , but it was part of my job .","That was a bit boring , but it was part of my job .","That was {=>a} bit boring , but it was part of my job .",fce_dev_734,mark
We hope to see you at the party and have a wonderfull time together .,We hope to see you at the party and have a wonderful time together .,We hope to see you at the party and have a {wonderfull=>wonderful} time together .,fce_dev_193,mark
"Firstly , I would like to thank you for the programme that you provided .","First , I would like to thank you for the program that you provided .","{Firstly=>First} , I would like to thank you for the {programme=>program} that you provided .",fce_dev_507,mark
"American style guides , including those published by the Associated Press and the Modern Language Association , require capitalization where the colon is followed by an independent clause ( i.e.","American style guides , including those published by the Associated Press and the Modern Language Association , require capitalization where the colon is followed by an independent clause . ( i.e.","American style guides , including those published by the Associated Press and the Modern Language Association , require capitalization where the colon is followed by an independent clause {=>.} ( i.e.",wiki_test_935,mark
It was dangerous but I knew I had to do it .,"It was dangerous , but I knew I had to do it .","It was dangerous {=>,} but I knew I had to do it .",fce_dev_664,mark
"The plot involves two men who shoot each other at a laundromat , a runaway teenage girl , an abandoned hogan , an aluminum trailor , and a car theft ring .","The plot involves two men who shoot each other at a laundromat , a runaway teenage girl , an abandoned hogan , an aluminum trailer , and a car theft ring .","The plot involves two men who shoot each other at a laundromat , a runaway teenage girl , an abandoned hogan , an aluminum {trailor=>trailer} , and a car theft ring .",wiki_dev_557,mark
"The Houghton lake Heights is a small residential community located on the southwestern shore of Houghton lake , Michigan .","The Houghton Lake Heights is a small residential community located on the southwestern shore of Houghton Lake , Michigan .","The Houghton {lake=>Lake} Heights is a small residential community located on the southwestern shore of Houghton {lake=>Lake} , Michigan .",wiki_dev_704,mark
"To sum up , it is a big school where you have a lot of interesting lessons and some optionaly activities to do in your free time .","To sum up , it is a big school where you have a lot of interesting classes and some optional activities to do in your free time .","To sum up , it is a big school where you have a lot of interesting {lessons=>classes} and some {optionaly=>optional} activities to do in your free time .",fce_test_775,mark
Version 1.02 was released On 5 December 2008 .,"Version 1.02 was released on December 5 , 2008 .","Version 1.02 was released {On=>on December} 5 {December=>,} 2008 .",wiki_dev_588,mark
Mulcair later clarified that he had actually been referring to the rumoured existence of pictures showing Bin Laden reaching for a gun before he was killed .,Mulcair later clarified that he had actually been referring to the rumored existence of pictures showing Bin Laden reaching for a gun before he was killed .,Mulcair later clarified that he had actually been referring to the {rumoured=>rumored} existence of pictures showing Bin Laden reaching for a gun before he was killed .,wiki_test_898,mark
"Obviously , Pat first refused , but then she accepted that she was wrong , and apologyse Maria , after then Pat never again talked about someone within his or her permission .","Obviously , Pat first refused , but then she accepted that she was wrong and apologized to Maria . After that , Pat never again talked about someone without his or her permission .","Obviously , Pat first refused , but then she accepted that she was wrong {=>and apologized to Maria . After that} , {and apologyse Maria , after then=>} Pat never again talked about someone {within=>without} his or her permission .",fce_dev_52,mark
"Tipp led by 7 points midway through the half , but Louth , after missing a penalty earlier , scored from their second and made a tight finish .","Tipp led by 7 points midway through the half , but Louth , after missing an earlier penalty , scored from their second and made a tight finish .","Tipp led by 7 points midway through the half , but Louth , after missing {a=>an earlier} penalty {earlier=>} , scored from their second and made a tight finish .",wiki_test_770,mark
The New Zealand 20 cent coin is the second lowest denomination coin of the New Zealand dollar .,New Zealand's 20 cent coin is the second lowest denomination coin of the New Zealand dollar .,{The=>} New {Zealand=>Zealand's} 20 cent coin is the second lowest denomination coin of the New Zealand dollar .,wiki_dev_86,mark
"The music video was released on November 12 , 2009 and the song was made available for download in the iTunes Store on December 1 , 2009 .","The music video was released on November 12 , 2009 , and the song was made available for download in the iTunes Store on December 1 , 2009 .","The music video was released on November 12 , 2009 {=>,} and the song was made available for download in the iTunes Store on December 1 , 2009 .",wiki_dev_742,mark
"I think that it will has a similar structure but it will include some new technological advantages like having all the house controlled by a computer so that , for example , we can turn on the lights of the bedroom just pressing a button while we are watching the TV sitting on the sofa .","I think that it will have a similar structure but will include some new technological advantages , like having the whole house controlled by a computer so that , for example , we can turn on the lights in the bedroom just by pressing a button while we are watching TV sitting on the sofa .","I think that it will {has=>have} a similar structure but {it=>} will include some new technological advantages {=>,} like having {all=>} the {=>whole} house controlled by a computer so that , for example , we can turn on the lights {of=>in} the bedroom just {=>by} pressing a button while we are watching {the=>} TV sitting on the sofa .",fce_test_391,mark
"A single mother and grandmother of two , she ' s now a full time writer who lives in Ahmedabad .","A single mother and grandmother of two , she ' s now a full-time writer who lives in Ahmedabad .","A single mother and grandmother of two , she ' s now a {full time=>full-time} writer who lives in Ahmedabad .",wiki_dev_408,mark
"Yesterday as I was arriving home I saw him in your yard Mack , he looked very satisfied , Curly was laying on the grass and ... ""","Yesterday , as I was arriving home , I saw him in your yard , Mack . He looked very satisfied , Curly was laying on the grass , and ... ""","Yesterday {=>,} as I was arriving home {=>,} I saw him in your yard {=>,} Mack {, he=>. He} looked very satisfied , Curly was laying on the grass {=>,} and ... """,fce_test_52,mark
"Later , a new law was proposed in 1998 , specifing that a lawyer who was once a judge or a prosecutor must not serve as a lawyer within two years at criminal trials of a court of which he was a member directly before .","Later , a new law was proposed in 1998 , specifying that a lawyer who was once a judge or a prosecutor must not serve as a lawyer , within two years , at criminal trials of a court of which he was a member directly before .","Later , a new law was proposed in 1998 , {specifing=>specifying} that a lawyer who was once a judge or a prosecutor must not serve as a lawyer {=>,} within two years {=>,} at criminal trials of a court of which he was a member directly before .",wiki_test_627,mark
"I usually stay a tent during camping . Actually , I do n't like tent so much .","I usually stay in a tent during camping . Actually , I do n't like the tent so much .","I usually stay {=>in} a tent during camping . Actually , I do n't like {=>the} tent so much .",fce_dev_836,mark
"Some Contestants ' Row displays even have video screens ( as used on the UK 's "" Bruce 's Price is Right "" and the recent Australian version in 2003 ) to display bids instead of toteboards ( the traditional toteboard on the US version was manufactured in the 1970 's , and is no longer manufactured ) .","Some Contestants ' Row displays even have video screens ( as used on the UK 's "" Bruce 's Price is Right "" and the recent Australian version in 2003 ) to display bids instead of tote boards ( the traditional tote board on the US version was manufactured in the 1970 's , and is no longer being manufactured ) .","Some Contestants ' Row displays even have video screens ( as used on the UK 's "" Bruce 's Price is Right "" and the recent Australian version in 2003 ) to display bids instead of {toteboards=>tote boards} ( the traditional {toteboard=>tote board} on the US version was manufactured in the 1970 's , and is no longer {=>being} manufactured ) .",wiki_test_822,mark
The two return to find the Dark Mark over Hogwarts and Death Eaters attacking students and teachers .,"The two return to find the Dark Mark over Hogwarts , and Death Eaters attacking students and teachers .","The two return to find the Dark Mark over Hogwarts {=>,} and Death Eaters attacking students and teachers .",wiki_test_841,mark
Two other early writers relevant on dependency theory were François Perroux and Kurt Rothschild .,Two other early relevant writers on dependency theory were François Perroux and Kurt Rothschild .,Two other early {=>relevant} writers {relevant=>} on dependency theory were François Perroux and Kurt Rothschild .,wiki_dev_458,mark
